Date;Close;Open;High;Low;Vol;Change
12/12/2021;7.500;7.375;7.500;7.275;364,49M;1,69%
19/12/2021;7.300;7.350;7.425;7.300;228,31M;-2,67%
26/12/2021;7.300;7.300;7.400;7.300;152,10M;0,00%
02/01/2022;7.650;7.325;7.700;7.300;408,17M;4,79%
09/01/2022;7.850;7.575;7.850;7.550;334,22M;2,61%
16/01/2022;7.950;7.900;7.950;7.550;319,06M;1,27%
23/01/2022;7.775;7.825;7.850;7.625;342,97M;-2,20%
30/01/2022;7.725;7.775;7.825;7.625;207,86M;-0,64%
06/02/2022;7.825;7.775;7.950;7.650;392,86M;1,29%
13/02/2022;7.925;7.750;7.975;7.700;295,90M;1,28%
20/02/2022;8.050;7.925;8.175;7.850;484,01M;1,58%
27/02/2022;7.900;8.000;8.225;7.900;369,90M;-1,86%
06/03/2022;7.950;7.800;7.975;7.650;530,60M;0,63%
13/03/2022;7.900;8.050;8.300;7.900;615,83M;-0,63%
20/03/2022;7.950;7.800;7.950;7.800;408,05M;0,63%
27/03/2022;7.925;7.825;8.075;7.800;435,79M;-0,31%
03/04/2022;7.850;7.925;7.925;7.700;363,52M;-0,95%
10/04/2022;7.700;7.825;7.875;7.700;287,21M;-1,91%
17/04/2022;7.875;7.700;7.925;7.625;506,76M;2,27%
24/04/2022;8.125;7.875;8.250;7.825;442,83M;3,17%
08/05/2022;7.325;7.875;7.900;7.250;1,34B;-9,85%
15/05/2022;7.400;7.275;7.575;7.275;540,60M;1,02%
22/05/2022;7.575;7.450;7.575;7.325;341,40M;2,36%
29/05/2022;7.600;7.575;7.750;7.475;621,49M;0,33%
05/06/2022;7.350;7.550;7.600;7.300;538,89M;-3,29%
12/06/2022;7.500;7.300;7.600;7.250;547,28M;2,04%
19/06/2022;7.475;7.600;7.650;7.450;303,88M;-0,33%
26/06/2022;7.250;7.475;7.500;7.250;442,55M;-3,01%
03/07/2022;7.150;7.250;7.325;7.000;388,65M;-1,38%
10/07/2022;7.000;7.200;7.250;7.000;283,82M;-2,10%
17/07/2022;7.325;7.025;7.400;7.025;328,81M;4,64%
24/07/2022;7.350;7.350;7.475;7.250;352,56M;0,34%
31/07/2022;7.875;7.350;7.875;7.350;539,25M;7,14%
07/08/2022;7.925;7.875;7.975;7.725;415,87M;0,63%
14/08/2022;7.900;7.950;8.050;7.850;309,30M;-0,32%
21/08/2022;8.000;7.850;8.125;7.825;457,83M;1,27%
28/08/2022;8.225;8.000;8.275;7.950;456,84M;2,81%
04/09/2022;8.375;8.225;8.500;8.200;455,28M;1,82%
11/09/2022;8.450;8.325;8.875;8.325;847,06M;0,90%
18/09/2022;8.375;8.475;8.750;8.375;405,18M;-0,89%
25/09/2022;8.550;8.200;8.575;8.200;524,12M;2,09%
02/10/2022;8.200;8.450;8.625;8.200;415,40M;-4,09%
09/10/2022;8.250;8.150;8.375;8.125;325,33M;0,61%
16/10/2022;8.650;8.250;8.725;8.175;423,40M;4,85%
23/10/2022;8.750;8.750;8.900;8.550;410,13M;1,16%
30/10/2022;8.775;8.850;9.000;8.675;412,58M;0,29%
06/11/2022;8.850;8.725;8.925;8.675;318,98M;0,85%
13/11/2022;8.825;8.875;8.900;8.550;409,28M;-0,28%
20/11/2022;8.975;8.875;9.000;8.725;340,51M;1,70%
27/11/2022;8.900;9.050;9.400;8.850;817,62M;-0,84%
04/12/2022;8.575;8.800;8.900;8.350;75,50M;-3,65%
11/12/2022;8.600;8.525;8.700;8.400;491,55M;0,29%
18/12/2022;8.500;8.650;8.700;8.500;229,15M;-1,16%
25/12/2022;8.550;8.500;8.650;8.500;189,28M;0,59%
01/01/2023;8.300;8.575;8.600;8.100;327,95M;-2,92%
08/01/2023;8.050;8.325;8.450;8.000;506,48M;-3,01%
15/01/2023;8.300;8.050;8.375;8.050;417,28M;3,11%
22/01/2023;8.700;8.300;8.850;8.200;356,84M;4,82%
29/01/2023;8.700;8.725;8.775;8.400;473,15M;0,00%
05/02/2023;8.825;8.750;8.900;8.650;409,22M;1,44%
12/02/2023;8.725;8.875;8.950;8.700;259,93M;-1,13%
19/02/2023;8.675;8.725;8.850;8.625;230,18M;-0,57%
26/02/2023;8.475;8.675;8.775;8.475;373,65M;-2,31%
05/03/2023;8.450;8.550;8.650;8.350;364,20M;-0,29%
12/03/2023;8.375;8.450;8.625;8.250;480,97M;-0,89%
19/03/2023;8.825;8.400;8.825;8.375;283,53M;5,37%
26/03/2023;8.750;8.825;8.900;8.625;496,45M;-0,85%
02/04/2023;8.750;8.825;8.825;8.650;184,74M;0,00%
09/04/2023;9.000;8.725;9.000;8.700;305,16M;2,86%
16/04/2023;9.125;9.025;9.175;8.900;175,19M;1,39%
23/04/2023;9.050;9.125;9.200;9.000;398,84M;-0,82%
30/04/2023;9.000;9.100;9.100;8.875;290,70M;-0,55%
07/05/2023;8.800;9.000;9.075;8.725;334,07M;-2,22%
14/05/2023;9.000;8.875;9.000;8.700;284,63M;2,27%
21/05/2023;9.150;9.000;9.200;8.925;361,32M;1,67%
28/05/2023;9.050;9.250;9.325;9.050;611,30M;-1,09%
04/06/2023;9.100;9.150;9.325;9.050;403,05M;0,55%
11/06/2023;9.050;9.150;9.175;8.975;327,70M;-0,55%
18/06/2023;9.050;9.000;9.150;8.950;226,81M;0,00%
25/06/2023;9.150;9.025;9.150;9.025;72,62M;1,10%
02/07/2023;9.025;9.025;9.150;9.025;278,71M;-1,37%
09/07/2023;9.200;9.100;9.225;9.025;255,04M;1,94%
16/07/2023;9.150;9.200;9.250;9.100;255,67M;-0,54%
23/07/2023;9.125;9.200;9.400;9.100;451,09M;-0,27%
30/07/2023;9.150;9.175;9.300;9.100;308,53M;0,27%
06/08/2023;9.400;9.150;9.450;9.150;340,91M;2,73%
13/08/2023;9.250;9.325;9.375;9.225;290,57M;-1,60%
20/08/2023;9.275;9.225;9.325;9.150;307,09M;0,27%
27/08/2023;9.225;9.250;9.300;9.100;324,34M;-0,54%
